Date,Open,High,Low,Close,Adj Close,Volume
21-Nov-24,203.09,203.13,195.75,198.23,198.23,"48,845,588"
20-Nov-24,202.98,203.13,199.45,202.88,202.88,"32,769,000"
19-Nov-24,199.33,205.3,198.78,204.61,204.61,"31,197,900"
18-Nov-24,204.15,204.67,200.95,201.7,201.7,"36,512,500"
15-Nov-24,206.76,207.34,199.61,202.61,202.61,"86,591,100"
14-Nov-24,214.16,215.9,210.88,211.48,211.48,"42,620,300"
13-Nov-24,209.4,215.09,209.14,214.1,214.1,"46,212,900"
12-Nov-24,208.37,209.54,206.01,208.91,208.91,"38,942,900"
11-Nov-24,208.5,209.65,205.59,206.84,206.84,"35,456,000"
08-Nov-24,209.72,209.96,207.44,208.18,208.18,"36,075,800"
07-Nov-24,207.44,212.25,207.19,210.05,210.05,"52,878,400"
06-Nov-24,200.01,207.55,199.14,207.09,207.09,"72,292,200"
05-Nov-24,196.04,199.82,195.99,199.5,199.5,"30,564,800"
04-Nov-24,196.45,197.33,194.31,195.78,195.78,"38,492,100"
01-Nov-24,199,200.5,197.02,197.93,197.93,"99,687,800"
31-Oct-24,190.51,190.6,185.23,186.4,186.4,"75,146,800"
30-Oct-24,194.7,195.61,192.42,192.73,192.73,"37,707,600"
29-Oct-24,188.58,191.46,187.82,190.83,190.83,"35,690,200"
28-Oct-24,189.57,190.21,188.21,188.39,188.39,"27,930,800"
25-Oct-24,187.85,190.45,187.53,187.83,187.83,"29,362,100"
24-Oct-24,185.25,187.11,183.86,186.38,186.38,"21,647,400"
23-Oct-24,188.85,189.16,183.69,184.71,184.71,"31,937,100"
22-Oct-24,188.35,191.52,186.98,189.7,189.7,"29,650,600"
21-Oct-24,188.05,189.46,186.4,189.07,189.07,"24,639,400"
18-Oct-24,187.15,190.74,186.28,188.99,188.99,"37,417,700"
17-Oct-24,188.22,188.94,186,187.53,187.53,"25,039,400"
16-Oct-24,187.05,187.78,185.61,186.89,186.89,"23,456,800"
15-Oct-24,187.63,188.41,184.58,187.69,187.69,"32,178,900"
14-Oct-24,189.78,189.83,187.36,187.54,187.54,"22,614,400"
11-Oct-24,186.63,189.93,186.3,188.82,188.82,"25,751,600"
10-Oct-24,187.13,188.13,185.83,186.65,186.65,"27,785,000"
09-Oct-24,182.82,185.85,182.05,185.17,185.17,"26,343,100"
08-Oct-24,181.92,183.09,180.92,182.72,182.72,"26,372,100"
07-Oct-24,182.95,183.6,180.25,180.8,180.8,"42,364,200"
04-Oct-24,185.75,187.6,183.6,186.51,186.51,"40,890,300"
03-Oct-24,183.05,183.44,180.88,181.96,181.96,"30,204,300"
02-Oct-24,184.44,186.6,184.04,184.76,184.76,"23,704,100"
01-Oct-24,184.9,186.19,183.45,185.13,185.13,"36,044,900"
30-Sep-24,187.14,188.49,184.65,186.33,186.33,"41,583,900"
27-Sep-24,190.68,190.9,187.34,187.97,187.97,"36,002,300"
26-Sep-24,194.31,194.53,189.54,191.16,191.16,"36,334,900"
25-Sep-24,193.75,193.95,192.16,192.53,192.53,"26,391,100"
24-Sep-24,194.27,195.37,190.13,193.96,193.96,"43,478,900"
23-Sep-24,191.64,194.45,190.57,193.88,193.88,"36,993,100"
20-Sep-24,190.23,191.84,187.41,191.6,191.6,"100,378,600"
19-Sep-24,190.04,190.99,188.47,189.87,189.87,"39,543,200"
18-Sep-24,186.45,188.8,185.06,186.43,186.43,"34,448,100"
17-Sep-24,186.85,189.45,186.14,186.88,186.88,"26,091,700"
16-Sep-24,185.29,185.81,183.36,184.89,184.89,"26,065,500"
13-Sep-24,187,188.5,185.91,186.49,186.49,"26,495,400"
12-Sep-24,184.8,187.41,183.54,187,187,"33,622,500"
11-Sep-24,180.1,184.99,175.73,184.52,184.52,"42,564,700"
10-Sep-24,177.49,180.5,176.79,179.55,179.55,"36,233,800"
09-Sep-24,174.53,175.85,173.51,175.4,175.4,"29,037,400"
06-Sep-24,177.24,178.38,171.16,171.39,171.39,"41,466,500"
05-Sep-24,175,179.88,175,177.89,177.89,"40,170,500"
04-Sep-24,174.48,175.98,172.54,173.33,173.33,"30,309,200"
03-Sep-24,177.55,178.26,175.26,176.25,176.25,"37,817,500"
30-Aug-24,172.78,178.9,172.6,178.5,178.5,"43,429,400"
29-Aug-24,173.22,174.29,170.81,172.12,172.12,"26,407,800"
28-Aug-24,173.69,173.69,168.92,170.8,170.8,"29,045,000"
27-Aug-24,174.15,174.89,172.25,173.12,173.12,"29,842,000"
26-Aug-24,176.7,177.47,174.3,175.5,175.5,"22,366,200"
23-Aug-24,177.34,178.97,175.24,177.04,177.04,"29,150,100"
22-Aug-24,181.38,181.47,175.68,176.13,176.13,"32,047,500"
21-Aug-24,179.92,182.39,178.89,180.11,180.11,"35,599,100"
20-Aug-24,177.92,179.01,177.43,178.88,178.88,"26,255,200"
19-Aug-24,177.64,178.3,176.16,178.22,178.22,"31,129,800"
16-Aug-24,177.04,178.34,176.26,177.06,177.06,"31,489,200"
15-Aug-24,174.86,177.91,173.99,177.59,177.59,"51,698,500"
14-Aug-24,172.11,172.28,168.86,170.1,170.1,"28,843,800"
13-Aug-24,167.81,171.04,167.1,170.23,170.23,"39,237,900"
12-Aug-24,168.14,168.55,166.11,166.8,166.8,"30,072,800"
09-Aug-24,166.4,168.55,165.85,166.94,166.94,"36,401,000"
08-Aug-24,165.17,166.69,162.55,165.8,165.8,"44,616,200"
07-Aug-24,166.55,167.58,161.43,162.77,162.77,"48,408,200"
06-Aug-24,161.71,165.08,158.54,161.93,161.93,"59,950,800"
05-Aug-24,154.21,162.96,151.61,161.02,161.02,"83,149,400"
02-Aug-24,166.75,168.77,160.55,167.9,167.9,"141,448,400"
01-Aug-24,189.29,190.6,181.87,184.07,184.07,"70,435,600"
31-Jul-24,185.05,187.94,184.46,186.98,186.98,"41,667,300"
30-Jul-24,184.72,185.86,179.38,181.71,181.71,"39,508,600"
29-Jul-24,183.84,184.75,182.38,183.2,183.2,"33,270,100"
26-Jul-24,180.39,183.19,180.24,182.5,182.5,"29,506,000"
25-Jul-24,182.91,183.9,176.8,179.85,179.85,"44,464,200"
24-Jul-24,183.2,185.45,180.41,180.83,180.83,"41,532,400"
23-Jul-24,184.1,189.39,183.56,186.41,186.41,"47,537,700"
22-Jul-24,185,185.06,182.48,182.55,182.55,"39,931,900"
19-Jul-24,181.14,184.93,180.11,183.13,183.13,"43,081,800"
18-Jul-24,189.59,189.68,181.45,183.75,183.75,"51,043,600"
17-Jul-24,191.35,191.58,185.99,187.93,187.93,"48,076,100"
16-Jul-24,195.59,196.62,192.24,193.02,193.02,"33,994,700"
15-Jul-24,194.56,196.19,190.83,192.72,192.72,"40,683,200"
12-Jul-24,194.8,196.47,193.83,194.49,194.49,"30,598,500"
11-Jul-24,200.09,200.27,192.86,195.05,195.05,"44,565,000"
10-Jul-24,200,200.11,197.69,199.79,199.79,"32,883,800"
09-Jul-24,199.4,200.57,199.05,199.34,199.34,"32,700,100"
08-Jul-24,200.04,201.2,197.96,199.29,199.29,"34,767,300"
05-Jul-24,198.65,200.55,198.17,200,200,"39,858,900"
03-Jul-24,199.94,200.03,196.76,197.59,197.59,"31,597,900"
02-Jul-24,197.28,200.43,195.93,200,200,"45,600,000"
01-Jul-24,193.49,198.3,192.82,197.2,197.2,"41,192,000"
28-Jun-24,197.73,198.85,192.5,193.25,193.25,"76,930,200"
27-Jun-24,195.01,199.84,194.2,197.85,197.85,"74,397,500"
26-Jun-24,186.92,194.8,186.26,193.61,193.61,"65,103,900"
25-Jun-24,186.81,188.84,185.42,186.34,186.34,"45,898,500"
24-Jun-24,189.33,191,185.33,185.57,185.57,"50,610,400"
21-Jun-24,187.8,189.28,185.86,189.08,189.08,"72,931,800"
20-Jun-24,182.91,186.51,182.72,186.1,186.1,"44,726,800"
18-Jun-24,183.74,184.29,181.43,182.81,182.81,"36,659,200"
17-Jun-24,182.52,185,181.22,184.06,184.06,"35,601,900"
14-Jun-24,183.08,183.72,182.23,183.66,183.66,"25,456,400"
13-Jun-24,186.09,187.67,182.67,183.83,183.83,"39,721,500"
12-Jun-24,188.02,188.35,185.43,186.89,186.89,"33,984,200"
11-Jun-24,187.06,187.77,184.54,187.23,187.23,"27,265,100"
10-Jun-24,184.07,187.23,183.79,187.06,187.06,"34,494,500"
07-Jun-24,184.9,186.29,183.36,184.3,184.3,"28,021,500"
06-Jun-24,181.75,185,181.49,185,185,"31,371,200"
05-Jun-24,180.1,181.5,178.75,181.28,181.28,"32,116,400"
04-Jun-24,177.64,179.82,176.44,179.34,179.34,"27,198,400"
03-Jun-24,177.7,178.7,175.92,178.34,178.34,"30,786,600"
31-May-24,178.3,179.21,173.87,176.44,176.44,"58,903,900"
30-May-24,181.31,181.34,178.36,179.32,179.32,"29,249,200"
29-May-24,181.7,184.08,181.55,182.02,182.02,"32,009,300"
28-May-24,179.93,182.24,179.49,182.15,182.15,"29,927,000"
24-May-24,181.65,182.44,180.3,180.75,180.75,"27,434,100"
23-May-24,183.66,184.76,180.08,181.05,181.05,"33,670,200"
22-May-24,183.88,185.22,181.97,183.13,183.13,"28,148,800"
21-May-24,182.3,183.26,180.75,183.15,183.15,"50,839,100"
20-May-24,184.34,186.67,183.28,183.54,183.54,"30,511,800"
17-May-24,183.76,185.3,183.35,184.7,184.7,"33,175,700"
16-May-24,185.6,187.31,183.46,183.63,183.63,"38,834,500"
15-May-24,185.97,186.72,182.73,185.99,185.99,"75,459,900"
14-May-24,183.82,187.72,183.45,187.07,187.07,"38,698,200"
13-May-24,188,188.31,185.36,186.57,186.57,"24,898,600"
10-May-24,189.16,189.89,186.93,187.48,187.48,"34,141,800"
09-May-24,188.88,191.7,187.44,189.5,189.5,"43,368,400"
08-May-24,187.44,188.43,186.39,188,188,"26,136,400"
07-May-24,188.92,189.94,187.31,188.76,188.76,"34,048,900"
06-May-24,186.28,188.75,184.8,188.7,188.7,"34,725,300"
